year,hs_eci,locationcode,complexity_harv_rank_simple,complexity_harv_rank_normed,complexity_harv_rank_common
2016,0.48753417,BGR,82,0.346153846153846,70
1995,-0.25395793,BHR,131,0.596330275229358,125
1996,-0.0952551,BHR,113,0.523364485981308,111
1997,-0.1488817,BHR,116,0.537383177570094,114
1998,0.05338805,BHR,106,0.490654205607477,104
1999,-0.003010975,BHR,110,0.506976744186047,107
2000,-0.080046214,BHR,122,0.526086956521739,109
2001,0.11191004,BHR,116,0.5,103
2002,0.08032735,BHR,117,0.504347826086957,103
2003,0.22727023,BHR,104,0.447826086956522,92
2004,-0.042471204,BHR,124,0.534782608695652,110
2005,0.2910511,BHR,92,0.395652173913043,81
2006,0.44186482,BHR,85,0.363636363636364,73
2007,0.43474537,BHR,90,0.385281385281385,77
2008,0.4270768,BHR,86,0.367965367965368,74
2009,0.1579655,BHR,112,0.480519480519481,97
2010,0.37000278,BHR,86,0.367965367965368,75
2011,0.126852,BHR,115,0.489270386266094,98
2012,0.14899659,BHR,109,0.461538461538462,93
2013,0.40474537,BHR,89,0.374468085106383,75
2014,0.25957236,BHR,95,0.401709401709402,83
2015,0.34851918,BHR,93,0.393162393162393,79
2016,0.3197559,BHR,94,0.397435897435897,81
1995,0.4842739,BHS,69,0.311926605504587,64
1996,0.27334493,BHS,81,0.373831775700935,79
1997,0.2998836,BHS,80,0.369158878504673,78
1998,0.5366387,BHS,63,0.289719626168224,62
1999,0.781496,BHS,46,0.209302325581395,45
2000,0.59118444,BHS,70,0.3,59
2001,0.88672704,BHS,52,0.221739130434783,44
2002,0.43181652,BHS,79,0.339130434782609,68
2003,0.4332041,BHS,77,0.330434782608696,66
2004,0.16008067,BHS,106,0.456521739130435,93
2005,0.25037077,BHS,98,0.421739130434783,87
2006,0.30159694,BHS,95,0.406926406926407,82
2007,0.5959646,BHS,76,0.324675324675325,66
2008,0.39292413,BHS,90,0.385281385281385,78
2009,0.09020687,BHS,119,0.510822510822511,103
2010,-0.06317272,BHS,128,0.54978354978355,112
2011,0.027968746,BHS,122,0.51931330472103,105
2012,0.5648174,BHS,77,0.324786324786325,66
2013,0.78409946,BHS,57,0.238297872340426,49
2014,0.62119097,BHS,73,0.307692307692308,63
2015,0.17099951,BHS,107,0.452991452991453,91
2016,0.031487923,BHS,124,0.525641025641026,107
1995,0.19924347,BIH,94,0.426605504587156,88
1996,0.6263678,BIH,51,0.233644859813084,50
1997,0.47495624,BIH,63,0.289719626168224,61
1998,0.22130574,BIH,95,0.439252336448598,93
1999,0.3846633,BIH,75,0.344186046511628,73
2000,0.31640163,BIH,97,0.417391304347826,84
2001,0.2553224,BIH,98,0.421739130434783,86
2002,0.29228142,BIH,94,0.404347826086957,81
2003,0.23827806,BIH,100,0.430434782608696,89
2004,0.34974605,BIH,84,0.360869565217391,72
2005,0.24287945,BIH,100,0.430434782608696,89
2006,0.35890883,BIH,91,0.38961038961039,78
2007,0.43721488,BIH,89,0.380952380952381,76
2008,0.44572622,BIH,84,0.359307359307359,72
2009,0.49315965,BIH,81,0.346320346320346,70
2010,0.3690313,BIH,87,0.372294372294372,76
2011,0.38885298,BIH,86,0.36480686695279,73
2012,0.36393514,BIH,93,0.393162393162393,78
2013,0.34604794,BIH,95,0.4,80
2014,0.44493428,BIH,84,0.354700854700855,73
2015,0.33142564,BIH,94,0.397435897435897,80
2016,0.48375818,BIH,84,0.354700854700855,72
1995,0.5543704,BLR,56,0.252293577981651,52
1996,0.7245062,BLR,44,0.200934579439252,44
1997,0.6099821,BLR,55,0.252336448598131,55
1998,0.8605188,BLR,40,0.182242990654206,40
1999,0.7621877,BLR,48,0.218604651162791,47
2000,0.75849736,BLR,60,0.256521739130435,50
2001,0.90555257,BLR,50,0.21304347826087,42
2002,0.8882399,BLR,45,0.191304347826087,39
2003,0.8315451,BLR,50,0.21304347826087,42
2004,0.84405464,BLR,45,0.191304347826087,38
2005,0.88989806,BLR,47,0.2,42
2006,0.95121264,BLR,49,0.207792207792208,42
2007,1.0451927,BLR,39,0.164502164502165,35
2008,0.9125496,BLR,48,0.203463203463203,41
2009,0.91365576,BLR,51,0.216450216450216,43
2010,0.96494496,BLR,42,0.177489177489178,35
2011,0.9017698,BLR,49,0.206008583690987,41
2012,1.0289594,BLR,45,0.188034188034188,38
2013,0.9797228,BLR,41,0.170212765957447,36
2014,0.7868272,BLR,58,0.243589743589744,48
2015,0.5962721,BLR,74,0.311965811965812,63
